Scenario,Seed,Incidents,Truck,Total Time (seconds),Total Distance (meters),Average_Time_seconds,Average Distance (meters)
Current,141,12,Davis_506,0,0,2747.25,17367.08157
Current,141,12,Davis_512,0,0,2747.25,17367.08157
Current,141,12,Davis_518,0,0,2747.25,17367.08157
Current,141,12,Davis_526,0,0,2747.25,17367.08157
Current,141,12,Davis_529,0,0,2747.25,17367.08157
Current,141,12,SLC_505,691,19196.22361,2747.25,17367.08157
Current,141,12,SLC_510,274,6168.809434,2747.25,17367.08157
Current,141,12,SLC_514,688,17157.39905,2747.25,17367.08157
Current,141,12,SLC_517,660,17789.5478,2747.25,17367.08157
Current,141,12,SLC_519,634,15472.0982,2747.25,17367.08157
Current,141,12,SLC_520,2791,21149.67269,2747.25,17367.08157
Current,141,12,SLC_523,1075,28741.50883,2747.25,17367.08157
Current,141,12,SLC_525,0,0,2747.25,17367.08157
Current,141,12,SLC_527,7880,46144.6541,2747.25,17367.08157
Current,141,12,SLC_528,7976,40976.38744,2747.25,17367.08157
Current,141,12,Utah_County_502,0,0,2747.25,17367.08157
Current,141,12,Utah_County_513,27678,70630.66564,2747.25,17367.08157
Current,141,12,Utah_County_516,3606,33452.43326,2747.25,17367.08157
Current,141,12,Utah_County_521,0,0,2747.25,17367.08157
Current,141,12,Utah_County_524,992,30462.23126,2747.25,17367.08157
Increased,141,12,Davis_506,0,0,1507.533333,8687.469986
Increased,141,12,Davis_512,0,0,1507.533333,8687.469986
Increased,141,12,Davis_518,0,0,1507.533333,8687.469986
Increased,141,12,Davis_526,0,0,1507.533333,8687.469986
Increased,141,12,Davis_529,0,0,1507.533333,8687.469986
Increased,141,12,NEW_Davis_530,0,0,1507.533333,8687.469986
Increased,141,12,NEW_Davis_531,0,0,1507.533333,8687.469986
Increased,141,12,NEW_SLC_503,0,0,1507.533333,8687.469986
Increased,141,12,NEW_SLC_504,0,0,1507.533333,8687.469986
Increased,141,12,NEW_SLC_507,0,0,1507.533333,8687.469986
Increased,141,12,NEW_SLC_508,4699,26824.73661,1507.533333,8687.469986
Increased,141,12,NEW_SLC_509,527,11004.63473,1507.533333,8687.469986
Increased,141,12,NEW_SLC_511,4683,18409.99665,1507.533333,8687.469986
Increased,141,12,NEW_Utah_County_532,275,7848.638526,1507.533333,8687.469986
Increased,141,12,NEW_Utah_County_533,0,0,1507.533333,8687.469986
Increased,141,12,SLC_505,571,14248.0181,1507.533333,8687.469986
Increased,141,12,SLC_510,262,6168.809434,1507.533333,8687.469986
Increased,141,12,SLC_514,0,0,1507.533333,8687.469986
Increased,141,12,SLC_517,600,17789.5478,1507.533333,8687.469986
Increased,141,12,SLC_519,565,15472.0982,1507.533333,8687.469986
Increased,141,12,SLC_520,4741,21149.67269,1507.533333,8687.469986
Increased,141,12,SLC_523,0,0,1507.533333,8687.469986
Increased,141,12,SLC_525,0,0,1507.533333,8687.469986
Increased,141,12,SLC_527,12106,38373.79498,1507.533333,8687.469986
Increased,141,12,SLC_528,11585,19419.48735,1507.533333,8687.469986
Increased,141,12,Utah_County_502,0,0,1507.533333,8687.469986
Increased,141,12,Utah_County_513,0,0,1507.533333,8687.469986
Increased,141,12,Utah_County_516,3611,33452.43326,1507.533333,8687.469986
Increased,141,12,Utah_County_521,0,0,1507.533333,8687.469986
Increased,141,12,Utah_County_524,1001,30462.23126,1507.533333,8687.469986
Current,167,18,Davis_506,0,0,5257.1,23033.73105
Current,167,18,Davis_512,0,0,5257.1,23033.73105
Current,167,18,Davis_518,8990,38352.56778,5257.1,23033.73105
Current,167,18,Davis_526,0,0,5257.1,23033.73105
Current,167,18,Davis_529,422,13764.15394,5257.1,23033.73105
Current,167,18,SLC_505,27145,98963.17681,5257.1,23033.73105
Current,167,18,SLC_510,9505,71814.51224,5257.1,23033.73105
Current,167,18,SLC_514,16046,45122.2243,5257.1,23033.73105
Current,167,18,SLC_517,163,5619.895747,5257.1,23033.73105
Current,167,18,SLC_519,7909,13578.22689,5257.1,23033.73105
Current,167,18,SLC_520,445,11803.7847,5257.1,23033.73105
Current,167,18,SLC_523,0,0,5257.1,23033.73105
Current,167,18,SLC_525,14265,22657.86567,5257.1,23033.73105
Current,167,18,SLC_527,7628,28518.50259,5257.1,23033.73105
Current,167,18,SLC_528,10422,44422.1614,5257.1,23033.73105
Current,167,18,Utah_County_502,395,12450.78766,5257.1,23033.73105
Current,167,18,Utah_County_513,133,4676.74204,5257.1,23033.73105
Current,167,18,Utah_County_516,208,5298.880697,5257.1,23033.73105
Current,167,18,Utah_County_521,851,27351.65062,5257.1,23033.73105
Current,167,18,Utah_County_524,615,16279.48798,5257.1,23033.73105
Increased,167,18,Davis_506,0,0,3337.433333,13131.18657
Increased,167,18,Davis_512,0,0,3337.433333,13131.18657
Increased,167,18,Davis_518,0,0,3337.433333,13131.18657
Increased,167,18,Davis_526,0,0,3337.433333,13131.18657
Increased,167,18,Davis_529,0,0,3337.433333,13131.18657
Increased,167,18,NEW_Davis_530,486,10477.49542,3337.433333,13131.18657
Increased,167,18,NEW_Davis_531,0,0,3337.433333,13131.18657
Increased,167,18,NEW_SLC_503,19740,74933.84768,3337.433333,13131.18657
Increased,167,18,NEW_SLC_504,0,0,3337.433333,13131.18657
Increased,167,18,NEW_SLC_507,1496,44137.42088,3337.433333,13131.18657
Increased,167,18,NEW_SLC_508,0,0,3337.433333,13131.18657
Increased,167,18,NEW_SLC_509,16045,34306.9767,3337.433333,13131.18657
Increased,167,18,NEW_SLC_511,777,19800.11236,3337.433333,13131.18657
Increased,167,18,NEW_Utah_County_532,486,14778.27954,3337.433333,13131.18657
Increased,167,18,NEW_Utah_County_533,614,18104.30252,3337.433333,13131.18657
Increased,167,18,SLC_505,25611,26705.48452,3337.433333,13131.18657
Increased,167,18,SLC_510,331,9982.204938,3337.433333,13131.18657
Increased,167,18,SLC_514,14291,21114.73392,3337.433333,13131.18657
Increased,167,18,SLC_517,163,5619.895747,3337.433333,13131.18657
Increased,167,18,SLC_519,7913,13578.22689,3337.433333,13131.18657
Increased,167,18,SLC_520,453,11803.7847,3337.433333,13131.18657
Increased,167,18,SLC_523,0,0,3337.433333,13131.18657
Increased,167,18,SLC_525,0,0,3337.433333,13131.18657
Increased,167,18,SLC_527,10023,39922.97785,3337.433333,13131.18657
Increased,167,18,SLC_528,350,9963.955022,3337.433333,13131.18657
Increased,167,18,Utah_County_502,393,12450.78766,3337.433333,13131.18657
Increased,167,18,Utah_County_513,133,4676.74204,3337.433333,13131.18657
Increased,167,18,Utah_County_516,205,5298.880697,3337.433333,13131.18657
Increased,167,18,Utah_County_521,0,0,3337.433333,13131.18657
Increased,167,18,Utah_County_524,613,16279.48798,3337.433333,13131.18657
Current,227,18,Davis_506,0,0,5772.5,28001.72179
Current,227,18,Davis_512,0,0,5772.5,28001.72179
Current,227,18,Davis_518,0,0,5772.5,28001.72179
Current,227,18,Davis_526,0,0,5772.5,28001.72179
Current,227,18,Davis_529,1289,39022.85789,5772.5,28001.72179
Current,227,18,SLC_505,13854,49623.14595,5772.5,28001.72179
Current,227,18,SLC_510,8975,68715.85681,5772.5,28001.72179
Current,227,18,SLC_514,1002,30530.69258,5772.5,28001.72179
Current,227,18,SLC_517,13967,60350.65234,5772.5,28001.72179
Current,227,18,SLC_519,7576,21539.5514,5772.5,28001.72179
Current,227,18,SLC_520,435,11364.30613,5772.5,28001.72179
Current,227,18,SLC_523,5990,16348.01368,5772.5,28001.72179
Current,227,18,SLC_525,12590,36028.35895,5772.5,28001.72179
Current,227,18,SLC_527,14909,37937.19713,5772.5,28001.72179
Current,227,18,SLC_528,1470,29161.93282,5772.5,28001.72179
Current,227,18,Utah_County_502,320,10494.45786,5772.5,28001.72179
Current,227,18,Utah_County_513,6606,31480.01006,5772.5,28001.72179
Current,227,18,Utah_County_516,6019,41694.28182,5772.5,28001.72179
Current,227,18,Utah_County_521,441,13407.66903,5772.5,28001.72179
Current,227,18,Utah_County_524,20007,62335.45136,5772.5,28001.72179
Increased,227,18,Davis_506,0,0,2719.033333,12683.65057
Increased,227,18,Davis_512,0,0,2719.033333,12683.65057
Increased,227,18,Davis_518,0,0,2719.033333,12683.65057
Increased,227,18,Davis_526,0,0,2719.033333,12683.65057
Increased,227,18,Davis_529,0,0,2719.033333,12683.65057
Increased,227,18,NEW_Davis_530,0,0,2719.033333,12683.65057
Increased,227,18,NEW_Davis_531,0,0,2719.033333,12683.65057
Increased,227,18,NEW_SLC_503,13860,34124.84769,2719.033333,12683.65057
Increased,227,18,NEW_SLC_504,0,0,2719.033333,12683.65057
Increased,227,18,NEW_SLC_507,6660,24068.61312,2719.033333,12683.65057
Increased,227,18,NEW_SLC_508,5989,13895.70139,2719.033333,12683.65057
Increased,227,18,NEW_SLC_509,722,19695.36041,2719.033333,12683.65057
Increased,227,18,NEW_SLC_511,273,8624.630087,2719.033333,12683.65057
Increased,227,18,NEW_Utah_County_532,13738,29343.48246,2719.033333,12683.65057
Increased,227,18,NEW_Utah_County_533,983,30912.37975,2719.033333,12683.65057
Increased,227,18,SLC_505,12613,31591.97184,2719.033333,12683.65057
Increased,227,18,SLC_510,258,8709.731987,2719.033333,12683.65057
Increased,227,18,SLC_514,0,0,2719.033333,12683.65057
